contamination,false_alarm_rate,detection_rate,detect_class_0,detect_class_1,detect_class_2,detect_class_3,detect_class_4
0.01,0.05172413793103448,0.10785619174434088,0.05172413793103448,0.029069767441860465,0.0,0.20113314447592068,0.0
0.02,0.05172413793103448,0.14380825565912117,0.05172413793103448,0.046511627906976744,0.02127659574468085,0.2577903682719547,0.0
0.05,0.15517241379310345,0.35685752330226367,0.15517241379310345,0.2063953488372093,0.06382978723404255,0.5382436260623229,0.5714285714285714
0.1,0.20689655172413793,0.8894806924101198,0.20689655172413793,0.7587209302325582,1.0,1.0,1.0
0.15,0.22413793103448276,0.8908122503328895,0.22413793103448276,0.7616279069767442,1.0,1.0,1.0
0.2,0.22413793103448276,0.8908122503328895,0.22413793103448276,0.7616279069767442,1.0,1.0,1.0
